City Name,Population,Idk,Area Code
Birmingham,231483,79,35203
Huntsville,166313,134,35813
Mobile,191544,112,36601
Montgomery,200127,97,36119
Anchorage,275043,68,99599
Chandler,234939,75,85225
Gilbert town,173989,127,85296
Glendale,239435,73,85302
Mesa,442780,41,85201
Peoria,138200,169,85381
Phoenix,1461575,6,85026
Scottsdale,226013,80,85251
Tempe,161143,139,85282
Tucson,515526,32,85726
Little Rock,184564,116,72202
Anaheim,331804,55,92803
Antioch,100631,250,94509
Bakersfield,295536,61,93380
Berkeley,100744,249,94704
Burbank,104108,239,91505
Chula Vista,210497,90,91910
Concord,123252,191,94520
Corona,149387,151,91718
Costa Mesa,109830,218,92628
Daly City,100339,251,94015
Downey,109718,219,90241
El Monte,122513,193,91734
Elk Grove,112338,213,95624
Escondido,134085,175,92025
Fairfield,104476,236,94533
Fontana,163860,138,92335
Fremont,200468,96,94537
Fresno,461116,36,93706
Fullerton,132787,177,92834
Garden Grove,166075,136,92842
Glendale,200065,98,91205
Hayward,140293,165,94544
Huntington Beach,194457,105,92647
Inglewood,114467,207,90301
Irvine,186852,114,92619
Lancaster,134032,176,93534
Long Beach,474014,34,90802
Los Angeles,3844829,2,90052
Modesto,207011,93,95350
Moreno Valley,178367,121,92553
Norwalk,105834,231,90650
Oakland,395274,44,94612
Oceanside,166108,135,92054
Ontario,172679,128,91761
Orange,134950,173,92863
Oxnard,183628,117,93030
Palmdale,134570,174,93550
Pasadena,143731,160,91103
Pomona,153787,144,91769
Rancho Cucamonga,169353,129,91729
Richmond,102186,246,94801
Riverside,290086,62,92507
Roseville,105940,230,95661
Sacramento,456441,37,95813
Salinas,146431,153,93907
San Bernardino,198550,100,92401
San Buenaventura (Ventura),104017,240,93001
San Diego,1255540,8,92199
San Francisco,739426,14,94188
San Jose,912332,10,95101
Santa Ana,340368,54,92711
Santa Clara,105402,232,95050
Santa Clarita,168253,130,91355
Santa Rosa,153158,145,95402
Simi Valley,118687,198,93065
Stockton,286926,63,95208
Sunnyvale,128902,181,94086
Thousand Oaks,124359,189,91362
Torrance,142384,161,90503
Vallejo,117483,200,94590
Visalia,108669,222,93277
West Covina,108185,223,91793
Arvada,103966,241,80004
Aurora,297235,60,80017
Colorado Springs,369815,49,80903
Denver,557917,25,80202
Fort Collins,128026,185,80525
Lakewood,140671,164,80202
Pueblo,103495,242,81003
Thornton,105182,234,80221
Westminster,105084,235,80030
Bridgeport,139008,168,06602
Hartford,124397,188,06101
New Haven,124791,187,06511
Stamford,120045,196,06904
Waterbury,107902,225,06702
Cape Coral,140010,166,33909
Clearwater,108687,221,33990
Coral Springs,128804,182,33075
Fort Lauderdale,167380,133,33310
Gainesville,108184,224,32601
Hialeah,220485,84,33010
Hollywood,145629,154,33022
Jacksonville,782623,13,32203
Miami,386417,45,33152
Miramar,106623,228,33023
Orlando,213223,87,32802
Pembroke Pines,150380,148,33024
Pompano Beach,104179,237,33060
Port St. Lucie,131692,178,34952
St. Petersburg,249079,71,33730
Tallahassee,158500,141,32301
Tampa,325989,56,33630
Athens-2,103238,243,30608
Atlanta,470688,35,30304
Augusta-3,190782,113,30901
Columbus,185271,115,31908
Savannah,128453,183,31402
Boise City,193161,111,83708
Aurora,168181,131,60505
Chicago,2842518,3,60607
Joliet,136208,170,60436
Naperville,141579,163,60540
Peoria,112685,212,61601
Rockford,152916,146,61125
Springfield,115668,204,62703
Evansville,115918,203,47708
Fort Wayne,223341,81,46802
Indianapolis,784118,12,46206
South Bend,105262,233,46624
Cedar Rapids,123119,192,52401
Des Moines,194163,106,50318
Kansas City,144210,158,66106
Olathe,111334,216,66051
Overland Park,164811,137,66204
Topeka,121946,194,66603
Wichita,354865,51,67276
Lexington-Fayette,268080,69,40511
Louisville-5,556429,26,40231
Baton Rouge,222064,82,70826
Lafayette,112030,214,70509
New Orleans,454863,38,70113
Shreveport,198874,99,71102
Baltimore,635815,18,21202
Boston,559034,24,02205
Cambridge,100135,254,02139
Lowell,103111,244,01853
Springfield,151732,147,01101
Worcester,175898,126,01613
Ann Arbor,113271,210,48104
Detroit,886671,11,48233
Flint,118551,199,48502
Grand Rapids,193780,107,49501
Lansing,115518,205,48924
Sterling Heights,128034,184,48311
Warren,135311,172,48090
Minneapolis,372811,48,55401
St. Paul,275150,67,55109
Jackson,177977,123,39205
Independence,110208,217,64052
Kansas City,444965,40,64108
Springfield,150298,149,65801
St. Louis,344362,52,63155
Lincoln,239213,74,68501
Omaha,414521,43,68108
Henderson,232146,76,89015
Las Vegas,545147,29,89199
North Las Vegas,176635,125,89030
Reno,203550,95,89510
Manchester,109691,220,03103
Elizabeth,125809,186,07208
Jersey City,239614,72,07302
Newark,280666,65,07102
Paterson,149843,150,07510
Albuquerque,494236,33,87101
Buffalo,279745,66,14240
New York,8143197,1,10199
Rochester,211091,88,14692
Syracuse,141683,162,13220
Yonkers,196425,102,10701
Cary,106439,229,27511
Charlotte,610949,20,28228
Durham,204845,94,27701
Fayetteville,129928,179,28302
Greensboro,231962,77,27420
Raleigh,341530,53,27613
Winston-Salem,193755,109,27102
Akron,210795,89,44309
Cincinnati,308728,58,45225
Cleveland,452208,39,44101
Columbus,730657,15,43216
Dayton,158873,140,45401
Toledo,301285,59,43601
Norman,101719,247,73019
Oklahoma City,531324,31,73125
Tulsa,382457,46,74107
Eugene,144515,156,97401
Portland,533427,30,97208
Salem,148751,152,97309
Allentown,106992,226,18101
